,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
TCGA-AR-A1AQ_1.3.6.1.4.1.14519.5.2.1.3344.4002.298037359751562809791703106256,2.379539631,1.637744597,-0.295918601,1.158332512,-0.858242973,-0.347797622,0.423131039,-1.645964811,3.843873498,0.166450379,-0.337430927,-1.485717851,-0.055576674,-0.893829046,0.059223593,57.35244345,-8.452984512
TCGA-AR-A1AQ_1.3.6.1.4.1.14519.5.2.1.3344.4002.305595410232153079624627348508,2.379539631,1.637744597,-0.295918601,1.158332512,-0.858242973,-0.347797622,0.423131039,-1.645964811,3.843873498,0.166450379,-0.337430927,-1.485717851,-0.055576674,-0.893829046,0.059223593,57.35244345,-8.452984512
TCGA-AR-A1AX_1.3.6.1.4.1.14519.5.2.1.3344.4002.206857113053280210440199820089,0.123858821,2.622462032,0.769389624,1.140884854,-1.469996859,-0.406114205,-0.648727256,-1.273326469,2.779455074,-0.778159729,-0.569140266,-0.130920209,-0.376042497,0.404814801,1.122192505,58.03786649,-6.904775036
TCGA-AR-A1AX_1.3.6.1.4.1.14519.5.2.1.3344.4002.679215024267840149510486168035,0.123858821,2.622462032,0.769389624,1.140884854,-1.469996859,-0.406114205,-0.648727256,-1.273326469,2.779455074,-0.778159729,-0.569140266,-0.130920209,-0.376042497,0.404814801,1.122192505,58.03786649,-6.904775036
TCGA-AR-A24S_1.3.6.1.4.1.14519.5.2.1.3344.4002.281135513820146969728649876114,0.185099908,2.095090481,0.921341936,1.969403881,-0.335804453,-0.131131693,-0.311353941,-0.557698206,3.178072125,0.283943687,1.142832264,-1.086529864,-1.460886311,0.071695362,-1.725153588,58.06122569,-8.302706105
TCGA-AR-A24S_1.3.6.1.4.1.14519.5.2.1.3344.4002.536875763008370795855413850056,0.185099908,2.095090481,0.921341936,1.969403881,-0.335804453,-0.131131693,-0.311353941,-0.557698206,3.178072125,0.283943687,1.142832264,-1.086529864,-1.460886311,0.071695362,-1.725153588,58.06122569,-8.302706105
TCGA-AR-A24S_1.3.6.1.4.1.14519.5.2.1.3344.4002.638969414689064586737226265329,0.185099908,2.095090481,0.921341936,1.969403881,-0.335804453,-0.131131693,-0.311353941,-0.557698206,3.178072125,0.283943687,1.142832264,-1.086529864,-1.460886311,0.071695362,-1.725153588,58.06122569,-8.302706105
TCGA-AR-A24X_1.3.6.1.4.1.14519.5.2.1.3344.4002.251277123950629242009220116383,-0.636980926,1.227582804,0.703747917,0.521866362,0.148806396,0.53853411,-0.57952419,-0.998868674,1.443020995,0.778949681,-0.91573253,-1.579229211,1.544135585,-0.316561995,-0.58808235,56.51225373,-7.413799524
TCGA-AR-A24X_1.3.6.1.4.1.14519.5.2.1.3344.4002.610653875843821716162077277659,-0.636980926,1.227582804,0.703747917,0.521866362,0.148806396,0.53853411,-0.57952419,-0.998868674,1.443020995,0.778949681,-0.91573253,-1.579229211,1.544135585,-0.316561995,-0.58808235,56.51225373,-7.413799524
TCGA-E2-A108_1.3.6.1.4.1.14519.5.2.1.3023.4002.326559755381458727405190840146,0.380197195,3.647488581,0.388687915,0.993678064,-0.973718621,0.236950548,0.497537599,0.122527711,3.026459135,-0.150914721,0.281110162,-0.047840449,-0.066689294,-0.162140572,-0.180872286,58.13291021,-7.68851523
TCGA-E2-A109_1.3.6.1.4.1.14519.5.2.1.3023.4002.160940039616245892067322657704,-0.339554132,0.600624542,-0.143984449,1.223521184,0.042139637,-2.487650853,-0.732302739,2.097975026,0.927789767,-0.205108776,-0.275174791,0.033668562,-1.436749868,-0.23606574,0.848380674,56.48568434,-7.767046189
TCGA-E2-A10F_1.3.6.1.4.1.14519.5.2.1.3023.4002.330524247310529780883762846195,-0.481307244,2.280866073,0.268590384,1.008100063,0.607515431,-0.558704526,-0.016180233,-1.649356026,1.978122552,0.915893667,0.696203036,-0.337723145,1.114320701,0.653449825,0.057663675,57.81967912,-8.296675676
TCGA-E2-A15I_1.3.6.1.4.1.14519.5.2.1.3023.4002.787651465077908163734363659845,-0.745368603,1.886853898,1.075609353,-0.00668423,-0.366724997,0.380019181,0.077068163,-0.918948899,2.367587543,-1.92773294,-0.388815523,0.251374833,0.400938911,2.390825838,0.20468345,57.07215921,-5.783577165
TCGA-E2-A15J_1.3.6.1.4.1.14519.5.2.1.3023.4002.334163542066760270160583497144,-0.801863364,0.054390518,-0.481064608,0.393637158,0.638121766,1.264281445,0.81004055,-1.838510075,0.603263407,0.030264345,-0.162624297,-1.198189422,0.798386125,-0.493379705,-0.468661652,55.79451547,-7.568412347
TCGA-E2-A15K_1.3.6.1.4.1.14519.5.2.1.3023.4002.300870990833507153840061471990,-0.436005586,1.216164651,-0.555306645,1.511708125,-1.098266226,0.535996495,-0.556378613,-0.379240603,0.600571136,-0.551489396,0.996393913,-0.177489447,0.824321747,1.106601094,-1.342113652,56.29501174,-6.097851656
TCGA-E2-A1B1_1.3.6.1.4.1.14519.5.2.1.3023.4002.141745203839746465193736323640,0.293780954,2.976483361,1.377213071,0.70029744,-0.071484403,-0.249310757,0.507056239,-0.393729655,3.375300969,-1.024218504,1.166664199,-0.114437794,1.023294327,-0.258771333,0.442834351,58.70804071,-6.811382976
TCGA-E2-A1B5_1.3.6.1.4.1.14519.5.2.1.3023.4002.759173403958950393246787394195,0.231210988,2.676404954,-0.432502162,0.81210219,-1.90536474,0.001531291,0.762018812,0.337452789,3.002124063,-0.415567284,0.735230732,0.357707834,0.411495542,0.246034914,-0.643988615,57.25703147,-7.346957986
TCGA-E2-A1B6_1.3.6.1.4.1.14519.5.2.1.3023.4002.329694564678532613245820312356,2.168499649,2.443956746,-1.340930241,0.531410992,-2.359336458,-0.597403396,0.323327116,-0.896905209,3.371414474,-0.67450764,0.354620574,0.141065202,0.350845197,-0.065539045,-0.228279171,56.57194327,-7.587366311
TCGA-E2-A1IE_1.3.6.1.4.1.14519.5.2.1.3023.4002.187485373067880197793511039720,-0.802917273,0.209128362,-0.134353303,-0.628088809,0.620629003,-1.921115469,-0.022268546,1.506355195,2.549595512,-0.009413774,0.362922441,0.259203626,0.212782578,0.207439234,1.043872462,56.45788819,-7.394614126
TCGA-E2-A1IG_1.3.6.1.4.1.14519.5.2.1.3023.4002.105541089901078515762414995775,-0.234652457,1.487587814,-0.237246374,0.922258751,1.731114715,-2.337681036,0.422126187,-0.304697763,0.979446664,0.359428311,0.608672845,0.005660139,0.691878618,-0.798798603,1.544492465,56.8657894,-6.856586372
TCGA-E2-A1II_1.3.6.1.4.1.14519.5.2.1.3023.4002.186286275455596795148279858229,1.813222113,0.932424101,0.368271749,0.759356179,-2.412902796,-0.079755462,0.223678501,-0.57958506,2.175249175,0.431423494,-0.44889331,-1.21552096,0.171389528,0.199318964,-1.46067768,56.4401606,-6.456936513
TCGA-E2-A1IJ_1.3.6.1.4.1.14519.5.2.1.3023.4002.325310584812517958868855161430,-0.12855874,3.080115575,0.349004852,0.637258559,1.062553859,0.448667141,0.699328799,-1.239392398,1.902039173,-0.141313671,-0.269072905,-0.510109793,1.327064029,0.979491854,0.616986037,58.11199704,-7.023119736
TCGA-E2-A1IK_1.3.6.1.4.1.14519.5.2.1.3023.4002.178627279093933326973231812622,-0.420422529,1.167804487,-0.633225771,-0.485614394,-1.08660733,-1.144333854,0.098141288,-0.486784223,2.746736008,-1.532562188,-0.181429503,0.168465299,0.322114998,-0.784375396,1.696507355,57.12989797,-6.407569213
TCGA-E2-A1IN_1.3.6.1.4.1.14519.5.2.1.3023.4002.240005218440585200735505793075,-0.496097229,1.565407302,0.093457575,1.082842738,2.063889964,-0.461728721,0.03764805,-0.93174843,-0.726846578,0.471489266,-0.31020404,0.178830632,-0.014029791,-0.165997935,0.49241278,57.40500477,-6.523205576
TCGA-E2-A1L7_1.3.6.1.4.1.14519.5.2.1.3023.4002.967976074646275591684217901552,0.221867997,1.372585789,0.011057925,0.690330368,-0.667096282,-2.596623367,1.354003087,-1.063904465,4.524148043,-1.331404618,-3.320370864,-0.21215348,0.154437195,0.795156874,0.314528294,57.71728498,-9.562116529
TCGA-E2-A1L9_1.3.6.1.4.1.14519.5.2.1.3023.4002.114601413333398682487018661430,-0.185376345,1.96050973,0.012793714,1.794824812,1.434883005,0.449187705,1.136658954,-0.800896865,1.362149088,0.093586646,0.208592163,-0.798138399,1.271800321,-0.685784437,-0.437920111,57.9592959,-6.782942956
TCGA-E2-A1LG_1.3.6.1.4.1.14519.5.2.1.3023.4002.168145279679828106372076374943,2.208446091,0.786149724,0.360168033,-0.276551663,0.675444641,-1.071891323,-0.076111423,0.353949012,1.706478328,-2.925467045,2.16904453,-0.067057275,-0.397802106,1.000018338,0.397249425,56.59829672,-5.13393133
